Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0011B-47R-5, 24.0 cm",NULL,NULL,716.26,716.26,716.26,716.26,"C0011B-47R-5, 25.0 cm",NULL,NULL,716.27,716.27,716.27,716.27,"C0011B-47R-5 W, 24.0--25.0 cm",CKY000000000000426510,PP,NULL,7,yuzuru322,NULL,CKY,2009-09-18T08:26:06Z,NULL,143,glass beaker,5.963,2.692,9.608,4.4562,3.645,143,glass beaker,5.963,2.692,8.8973,3.7486,2.9343,0.7365,0.7192,1.045,1.7642,1.0566,0.0258,0.0116,2.9085,0.2021,0.2532,2.0661,1.6486,2.7833,0.4077,0.6882,fuway,2010-08-17T03:18:59Z
"C0011B-47R-5, 83.0 cm",NULL,NULL,716.85,716.85,716.85,716.85,"C0011B-47R-5, 85.0 cm",NULL,NULL,716.87,716.87,716.87,716.87,"C0011B-47R-5 WR, 83.0--85.0 cm",CKY000000000000420810,PP,NULL,5,brandon322,NULL,CKY,2009-09-18T04:14:12Z,NULL,416,glass beaker,6.213,2.815,10.2441,4.6924,4.0311,416,glass beaker,6.213,2.815,9.4907,3.9423,3.2777,0.7807,0.7624,1.115,1.8774,1.1273,0.0273,0.0123,3.2504,0.1937,0.2402,2.1472,1.7313,2.9152,0.4061,0.6838,yohei322,2009-09-21T02:54:53Z
"C0011B-47R-5, 113.0 cm",NULL,NULL,717.15,717.15,717.15,717.15,"C0011B-47R-5, 115.0 cm",NULL,NULL,717.17,717.17,717.17,717.17,"C0011B-47R-5 WR, 113.0--115.0 cm",CKY000000000000421610,PP,NULL,5,brandon322,NULL,CKY,2009-09-18T04:17:14Z,NULL,119,glass beaker,6.087,2.751,10.2438,4.7621,4.1568,119,glass beaker,6.087,2.751,9.4695,3.9912,3.3825,0.8024,0.7836,1.2275,2.0111,1.2402,0.0281,0.0127,3.3544,0.193,0.2392,2.0669,1.6679,2.7327,0.3896,0.6384,yohei322,2009-09-21T02:54:53Z
"C0011B-47R-6, 23.0 cm",NULL,NULL,717.66,717.66,717.66,717.66,"C0011B-47R-6, 24.0 cm",NULL,NULL,717.67,717.67,717.67,717.67,"C0011B-47R-6 W, 23.0--24.0 cm",CKY000000000000428310,PP,NULL,7,yohei322,NULL,CKY,2009-09-18T09:26:53Z,NULL,195,glass beaker,6.065,2.719,9.9931,4.5851,3.9281,195,glass beaker,6.065,2.719,9.2822,3.8773,3.2172,0.7367,0.7194,1.1467,1.8661,1.1583,0.0258,0.0116,3.1914,0.1875,0.2308,2.105,1.7102,2.7831,0.3855,0.6274,fuway,2010-08-17T03:19:04Z
"C0011B-48R-1, 21.0 cm",NULL,NULL,721.21,721.21,721.21,721.21,"C0011B-48R-1, 23.0 cm",NULL,NULL,721.23,721.23,721.23,721.23,"C0011B-48R-1 W, 21.0--23.0 cm",CKY000000000000431410,PP,NULL,5,matt322,NULL,CKY,2009-09-18T12:20:07Z,NULL,5,glass beaker,4.597,2.116,8.872,4.0857,4.275,5,glass beaker,4.597,2.116,8.1501,3.3669,3.5531,0.7481,0.7306,1.2391,1.9697,1.2509,0.0262,0.0118,3.5269,0.175,0.2121,2.1704,1.7906,2.8463,0.3709,0.5896,fuway,2010-08-17T03:18:50Z
"C0011B-48R-1, 96.0 cm",NULL,NULL,721.96,721.96,721.96,721.96,"C0011B-48R-1, 98.0 cm",NULL,NULL,721.98,721.98,721.98,721.98,"C0011B-48R-1 W, 96.0--98.0 cm",CKY000000000000431510,PP,NULL,5,matt322,NULL,CKY,2009-09-18T12:20:08Z,NULL,10,glass beaker,4.535,2.013,8.5327,3.9303,3.9977,10,glass beaker,4.535,2.013,7.8898,3.2902,3.3548,0.6662,0.6506,1.2667,1.9173,1.2772,0.0233,0.0105,3.3315,0.1666,0.2,2.0851,1.7376,2.6301,0.3393,0.5136,yohei322,2009-09-21T02:54:54Z
"C0011B-48R-2, 25.0 cm",NULL,NULL,722.25,722.25,722.25,722.25,"C0011B-48R-2, 26.0 cm",NULL,NULL,722.26,722.26,722.26,722.26,"C0011B-48R-2 W, 25.0--26.0 cm",CKY000000000000431710,PP,NULL,5,andre322,NULL,CKY,2009-09-18T12:35:30Z,NULL,35,glass beaker,4.608,2.061,8.7883,4.0381,4.1803,35,glass beaker,4.608,2.061,8.1062,3.359,3.4982,0.7068,0.6902,1.2869,1.9771,1.298,0.0247,0.0111,3.4735,0.1691,0.2035,2.1144,1.7569,2.6991,0.3491,0.5363,fuway,2010-08-17T03:18:53Z
"C0011B-48R-3, 25.0 cm",NULL,NULL,722.785,722.785,722.785,722.785,"C0011B-48R-3, 27.0 cm",NULL,NULL,722.805,722.805,722.805,722.805,"C0011B-48R-3 WR, 25.0--27.0 cm",CKY000000000000424210,PP,NULL,5,katerina322,NULL,CKY,2009-09-18T07:19:51Z,NULL,174,glass beaker,6.018,2.69,9.1211,4.1818,3.1031,174,glass beaker,6.018,2.69,8.5657,3.6289,2.5477,0.5755,0.562,0.9298,1.4918,0.9389,0.0201,0.0091,2.5276,0.1855,0.2277,2.0801,1.6943,2.7184,0.3767,0.6044,fuway,2010-08-17T03:19:03Z
"C0011B-48R-4, 37.0 cm",NULL,NULL,723.755,723.755,723.755,723.755,"C0011B-48R-4, 38.0 cm",NULL,NULL,723.765,723.765,723.765,723.765,"C0011B-48R-4 W, 37.0--38.0 cm",CKY000000000000431810,PP,NULL,5,andre322,NULL,CKY,2009-09-18T12:54:30Z,NULL,175,glass beaker,6.13,2.768,11.3135,5.1596,5.1835,175,glass beaker,6.13,2.768,10.5075,4.3572,4.3775,0.8352,0.8156,1.576,2.3916,1.5892,0.0292,0.0132,4.3483,0.1611,0.1921,2.1674,1.8182,2.7591,0.341,0.5175,fuway,2010-08-17T03:19:03Z
"C0011B-49R-1, 29.0 cm",NULL,NULL,730.39,730.39,730.39,730.39,"C0011B-49R-1, 30.0 cm",NULL,NULL,730.4,730.4,730.4,730.4,"C0011B-49R-1 WR, 29.0--30.0 cm",CKY000000000000435610,PP,NULL,10,andre322,NULL,CKY,2009-09-18T18:27:57Z,NULL,148,glass beaker,6.081,2.699,10.3665,4.75,4.2855,148,glass beaker,6.081,2.699,9.7201,4.1064,3.6391,0.6698,0.6541,1.3969,2.051,1.4074,0.0234,0.0105,3.6157,0.1563,0.1852,2.0895,1.7629,2.5884,0.3189,0.4683,yohei322,2009-09-21T02:54:54Z
"C0011B-49R-1, 99.0 cm",NULL,NULL,731.09,731.09,731.09,731.09,"C0011B-49R-1, 100.0 cm",NULL,NULL,731.1,731.1,731.1,731.1,"C0011B-49R-1 WR, 99.0--100.0 cm",CKY000000000000435710,PP,NULL,10,andre322,NULL,CKY,2009-09-18T18:28:11Z,NULL,126,glass beaker,6.045,2.685,9.1113,4.146,3.0663,126,glass beaker,6.045,2.685,8.643,3.6798,2.598,0.4853,0.4739,0.9871,1.461,0.9948,0.017,0.0077,2.581,0.1583,0.188,2.0988,1.7666,2.6147,0.3244,0.4801,fuway,2010-08-17T03:18:56Z
"C0011B-49R-2, 16.0 cm",NULL,NULL,731.765,731.765,731.765,731.765,"C0011B-49R-2, 17.0 cm",NULL,NULL,731.775,731.775,731.775,731.775,"C0011B-49R-2 W, 16.0--17.0 cm",CKY000000000000436310,PP,NULL,10,yohei322,NULL,CKY,2009-09-18T18:50:29Z,NULL,173,glass beaker,5.967,2.703,9.8811,4.5161,3.9141,173,glass beaker,5.967,2.703,9.2436,3.8814,3.2766,0.6606,0.6451,1.168,1.8131,1.1784,0.0231,0.0104,3.2535,0.1688,0.203,2.1588,1.7944,2.7855,0.3558,0.5523,fuway,2010-08-17T03:19:03Z
"C0011B-49R-5, 39.0 cm",NULL,NULL,733.95,733.95,733.95,733.95,"C0011B-49R-5, 40.0 cm",NULL,NULL,733.96,733.96,733.96,733.96,"C0011B-49R-5 W, 39.0--40.0 cm",CKY000000000000437710,PP,NULL,10,andre322,NULL,CKY,2009-09-18T19:37:07Z,NULL,428,glass beaker,6.17,2.776,11.6707,5.3166,5.5007,428,glass beaker,6.17,2.776,10.8255,4.475,4.6555,0.8759,0.8554,1.6852,2.5406,1.699,0.0307,0.0138,4.6248,0.1592,0.1894,2.1651,1.8204,2.7444,0.3367,0.5076,fuway,2010-08-17T03:19:08Z
"C0011B-49R-7, 31.0 cm",NULL,NULL,735.23,735.23,735.23,735.23,"C0011B-49R-7, 32.0 cm",NULL,NULL,735.24,735.24,735.24,735.24,"C0011B-49R-7 W, 31.0--32.0 cm",CKY000000000000437910,PP,NULL,10,andre322,NULL,CKY,2009-09-18T20:00:30Z,NULL,16,glass beaker,4.608,2.05,10.3481,4.8226,5.7401,16,glass beaker,4.608,2.05,9.3975,3.8761,4.7895,0.9851,0.962,1.8106,2.7726,1.8261,0.0345,0.0155,4.755,0.1716,0.2072,2.0703,1.715,2.6262,0.347,0.5313,yohei322,2009-09-21T02:54:54Z
"C0011B-49R-7, 125.0 cm",NULL,NULL,736.17,736.17,736.17,736.17,"C0011B-49R-7, 126.0 cm",NULL,NULL,736.18,736.18,736.18,736.18,"C0011B-49R-7 W, 125.0--126.0 cm",CKY000000000000437810,PP,NULL,10,andre322,NULL,CKY,2009-09-18T20:00:14Z,NULL,432,glass beaker,6.164,2.77,10.282,4.7348,4.118,432,glass beaker,6.164,2.77,9.5834,4.0393,3.4194,0.7239,0.7069,1.2579,1.9648,1.2693,0.0253,0.0114,3.3941,0.1758,0.2133,2.0959,1.7275,2.6982,0.3598,0.562,yohei322,2009-09-21T02:54:54Z
"C0011B-50R-1, 45.0 cm",NULL,NULL,738.45,738.45,738.45,738.45,"C0011B-50R-1, 46.0 cm",NULL,NULL,738.46,738.46,738.46,738.46,"C0011B-50R-1 W, 45.0--46.0 cm",CKY000000000000439210,PP,NULL,7,andre322,NULL,CKY,2009-09-18T21:58:29Z,NULL,182,glass beaker,6.112,2.748,10.7928,4.9544,4.6808,182,glass beaker,6.112,2.748,9.9897,4.1548,3.8777,0.8322,0.8127,1.3937,2.2064,1.4068,0.0291,0.0131,3.8486,0.1778,0.2162,2.1215,1.7443,2.7614,0.3683,0.5831,fuway,2010-08-17T03:19:03Z
"C0011B-50R-2, 29.0 cm",NULL,NULL,739.09,739.09,739.09,739.09,"C0011B-50R-2, 31.0 cm",NULL,NULL,739.11,739.11,739.11,739.11,"C0011B-50R-2 WR, 29.0--31.0 cm",CKY000000000000437110,PP,NULL,7,fujikit,NULL,CKY,2009-09-18T19:36:21Z,NULL,17,glass beaker,4.584,2.062,8.294,3.8863,3.71,17,glass beaker,4.584,2.062,7.6164,3.2117,3.0324,0.7022,0.6857,1.1386,1.8243,1.1497,0.0246,0.0111,3.0078,0.1893,0.2335,2.0337,1.6487,2.6417,0.3759,0.6022,fuway,2010-08-17T03:18:52Z
"C0011B-50R-3, 60.0 cm",NULL,NULL,740.84,740.84,740.84,740.84,"C0011B-50R-3, 62.0 cm",NULL,NULL,740.86,740.86,740.86,740.86,"C0011B-50R-3 W, 60.0--62.0 cm",CKY000000000000439410,PP,NULL,7,andre322,NULL,CKY,2009-09-18T22:32:32Z,NULL,190,glass beaker,6.059,2.734,8.4639,3.878,2.4049,190,glass beaker,6.059,2.734,8.081,3.4968,2.022,0.3968,0.3875,0.7565,1.144,0.7628,0.0139,0.0063,2.0081,0.165,0.1976,2.1022,1.7553,2.6545,0.3387,0.5122,fuway,2010-08-17T03:19:04Z
"C0011B-51R-1, 56.0 cm",NULL,NULL,748.019,748.06,748.019,748.06,"C0011B-51R-1, 58.0 cm",NULL,NULL,748.038,748.08,748.038,748.08,"C0011B-51R-1 W, 56.0--58.0 cm",CKY000000000000448710,PP,NULL,10,hiranos,NULL,CKY,2009-09-20T16:39:20Z,NULL,24,glass beaker,4.632,2.081,8.5227,4.0504,3.8907,24,glass beaker,4.632,2.081,7.7296,3.2608,3.0976,0.8219,0.8026,1.1668,1.9694,1.1798,0.0288,0.013,3.0688,0.2112,0.2678,1.9756,1.5582,2.6301,0.4075,0.6879,fuway,2010-08-17T03:18:53Z
"C0011B-51R-1, 136.0 cm",NULL,NULL,748.761,748.86,748.761,748.86,"C0011B-51R-1, 139.0 cm",NULL,NULL,748.789,748.89,748.789,748.89,"C0011B-51R-1 WR, 136.0--139.0 cm",CKY000000000000446910,PP,NULL,7,matt322,NULL,CKY,2009-09-20T15:20:21Z,NULL,140,glass beaker,6.004,2.671,10.2595,4.8249,4.2555,140,glass beaker,6.004,2.671,9.4107,3.9798,3.4067,0.8796,0.859,1.2949,2.1539,1.3088,0.0308,0.0139,3.3759,0.2067,0.2606,1.9757,1.5673,2.6071,0.3988,0.6634,yohei322,2009-09-21T21:21:21Z
"C0011B-51R-2, 58.0 cm",NULL,NULL,749.331,749.475,749.331,749.475,"C0011B-51R-2, 60.0 cm",NULL,NULL,749.35,749.495,749.35,749.495,"C0011B-51R-2 WR, 58.0--60.0 cm",CKY000000000000448110,PP,NULL,7,matt322,NULL,CKY,2009-09-20T15:32:24Z,NULL,131,glass beaker,6.049,2.74,10.9391,5.092,4.8901,131,glass beaker,6.049,2.74,10.0117,4.1686,3.9627,0.961,0.9385,1.4135,2.352,1.4286,0.0336,0.0151,3.9291,0.1965,0.2446,2.0791,1.6705,2.7797,0.399,0.664,fuway,2010-08-17T03:18:58Z
"C0011B-51R-3, 45.0 cm",NULL,NULL,750.194,750.405,750.194,750.405,"C0011B-51R-3, 46.0 cm",NULL,NULL,750.203,750.415,750.203,750.415,"C0011B-51R-3 W, 45.0--46.0 cm",CKY000000000000448510,PP,NULL,10,hiranos,NULL,CKY,2009-09-20T16:22:11Z,NULL,124,glass beaker,5.993,2.694,10.78,5.0996,4.787,124,glass beaker,5.993,2.694,9.8002,4.1241,3.8072,1.0153,0.9915,1.4141,2.4056,1.4301,0.0355,0.016,3.7717,0.2121,0.2692,1.9899,1.5679,2.6672,0.4122,0.7012,fuway,2010-08-17T03:18:55Z
"C0011B-51R-4, 0.0 cm",NULL,NULL,750.514,750.75,750.514,750.75,"C0011B-51R-4, 2.0 cm",NULL,NULL,750.532,750.77,750.532,750.77,"C0011B-51R-4 WR, 0.0--2.0 cm",CKY000000000000444710,PP,NULL,5,brandon322,NULL,CKY,2009-09-20T11:34:42Z,NULL,183,glass beaker,5.904,2.651,9.4402,4.3921,3.5362,183,glass beaker,5.904,2.651,8.8099,3.7645,2.9059,0.6532,0.6379,1.1032,1.7411,1.1135,0.0229,0.0103,2.883,0.1847,0.2266,2.031,1.6558,2.6133,0.3664,0.5782,yohei322,2009-09-21T21:21:20Z
"C0011B-51R-5, 23.0 cm",NULL,NULL,751.265,751.56,751.265,751.56,"C0011B-51R-5, 24.0 cm",NULL,NULL,751.274,751.57,751.274,751.57,"C0011B-51R-5 W, 23.0--24.0 cm",CKY000000000000448810,PP,NULL,10,hiranos,NULL,CKY,2009-09-20T17:48:19Z,NULL,26,glass beaker,4.593,2.059,9.479,4.4261,4.886,26,glass beaker,4.593,2.059,8.5663,3.5174,3.9733,0.9458,0.9236,1.4435,2.3671,1.4584,0.0331,0.0149,3.9402,0.1936,0.24,2.0641,1.6646,2.7296,0.3902,0.6398,fuway,2010-08-17T03:18:53Z
"C0011B-51R-5, 98.0 cm",NULL,NULL,751.96,752.31,751.96,752.31,"C0011B-51R-5, 100.0 cm",NULL,NULL,751.979,752.33,751.979,752.33,"C0011B-51R-5 W, 98.0--100.0 cm",CKY000000000000448910,PP,NULL,10,hiranos,NULL,CKY,2009-09-20T17:49:19Z,NULL,36,glass beaker,4.524,2.05,8.8963,4.138,4.3723,36,glass beaker,4.524,2.05,8.1081,3.3532,3.5841,0.8168,0.7977,1.2903,2.088,1.3032,0.0286,0.0129,3.5555,0.1868,0.2297,2.094,1.7028,2.7556,0.382,0.6182,yohei322,2009-09-21T21:21:21Z
"C0011B-51R-6, 24.0 cm",NULL,NULL,752.595,752.995,752.595,752.995,"C0011B-51R-6, 25.0 cm",NULL,NULL,752.605,753.005,752.605,753.005,"C0011B-51R-6 W, 24.0--25.0 cm",CKY000000000000449010,PP,NULL,10,hiranos,NULL,CKY,2009-09-20T18:06:05Z,NULL,436,glass beaker,6.227,2.789,9.855,4.5739,3.628,436,glass beaker,6.227,2.789,9.1428,3.8648,2.9158,0.738,0.7207,1.0642,1.7849,1.0758,0.0258,0.0116,2.89,0.2034,0.2554,2.0326,1.6191,2.7157,0.4038,0.6772,yohei322,2009-09-21T21:21:21Z
"C0011B-51R-6, 105.0 cm",NULL,NULL,753.347,753.805,753.347,753.805,"C0011B-51R-6, 107.0 cm",NULL,NULL,753.365,753.825,753.365,753.825,"C0011B-51R-6 W, 105.0--107.0 cm",CKY000000000000449110,PP,NULL,10,hiranos,NULL,CKY,2009-09-20T18:07:39Z,NULL,169,glass beaker,6.052,2.764,9.9586,4.5778,3.9066,169,glass beaker,6.052,2.764,9.2788,3.9009,3.2268,0.7045,0.688,1.1258,1.8138,1.1369,0.0247,0.0111,3.2021,0.1803,0.22,2.1538,1.7654,2.8443,0.3793,0.6111,fuway,2010-08-17T03:19:02Z
"C0011B-51R-7, 22.0 cm",NULL,NULL,753.898,754.4,753.898,754.4,"C0011B-51R-7, 24.0 cm",NULL,NULL,753.917,754.42,753.917,754.42,"C0011B-51R-7 W, 22.0--24.0 cm",CKY000000000000451510,PP,NULL,10,hiranos,NULL,CKY,2009-09-20T18:44:58Z,NULL,408,glass beaker,6.228,2.809,9.5491,4.3776,3.3211,408,glass beaker,6.228,2.809,8.9168,3.7481,2.6888,0.6552,0.6398,0.9288,1.5686,0.9391,0.0229,0.0103,2.6659,0.1973,0.2458,2.1172,1.6995,2.8703,0.4079,0.6888,fuway,2010-08-17T03:19:05Z
"C0011B-51R-7, 101.0 cm",NULL,NULL,754.631,755.19,754.631,755.19,"C0011B-51R-7, 102.0 cm",NULL,NULL,754.64,755.2,754.64,755.2,"C0011B-51R-7 W, 101.0--102.0 cm",CKY000000000000451610,PP,NULL,10,hiranos,NULL,CKY,2009-09-20T18:44:58Z,NULL,167,glass beaker,6.072,2.736,10.0509,4.667,3.9789,167,glass beaker,6.072,2.736,9.2789,3.8983,3.2069,0.8,0.7813,1.1497,1.931,1.1623,0.028,0.0126,3.1789,0.2011,0.2517,2.0605,1.6462,2.765,0.4046,0.6796,fuway,2010-08-17T03:19:02Z
"C0011B-51R-8, 21.0 cm",NULL,NULL,755.201,755.805,755.201,755.805,"C0011B-51R-8, 22.0 cm",NULL,NULL,755.21,755.815,755.21,755.815,"C0011B-51R-8 W, 21.0--22.0 cm",CKY000000000000450910,PP,NULL,10,hiranos,NULL,CKY,2009-09-20T18:38:47Z,NULL,400,glass beaker,6.366,2.882,10.1605,4.7397,3.7945,400,glass beaker,6.366,2.882,9.4201,4.0025,3.0541,0.7673,0.7493,1.1084,1.8577,1.1205,0.0269,0.0121,3.0272,0.2022,0.2535,2.0426,1.6295,2.7311,0.4033,0.676,fuway,2010-08-17T03:19:04Z
"C0011B-51R-8, 97.0 cm",NULL,NULL,755.906,756.565,755.906,756.565,"C0011B-51R-8, 98.0 cm",NULL,NULL,755.915,756.575,755.915,756.575,"C0011B-51R-8 W, 97.0--98.0 cm",CKY000000000000452710,PP,NULL,10,hiranos,NULL,CKY,2009-09-20T19:12:39Z,NULL,441,glass beaker,6.197,2.802,10.5059,5.0255,4.3089,441,glass beaker,6.197,2.802,9.5183,4.0422,3.3213,1.0234,0.9994,1.2241,2.2235,1.2402,0.0358,0.0161,3.2855,0.2375,0.3115,1.9379,1.4776,2.684,0.4495,0.8164,fuway,2010-08-17T03:19:08Z
"C0011B-51R-9, 19.0 cm",NULL,NULL,756.119,756.795,756.119,756.795,"C0011B-51R-9, 20.0 cm",NULL,NULL,756.128,756.805,756.128,756.805,"C0011B-51R-9 W, 19.0--20.0 cm",CKY000000000000453110,PP,NULL,5,hajime322,NULL,CKY,2009-09-20T19:40:26Z,NULL,154,glass beaker,6.046,2.729,10.2563,4.7914,4.2103,154,glass beaker,6.046,2.729,9.4061,3.9449,3.3601,0.881,0.8604,1.202,2.0624,1.2159,0.0308,0.0139,3.3293,0.2092,0.2646,2.0415,1.6143,2.7698,0.4172,0.7158,fuway,2010-08-17T03:19:00Z
"C0011B-51R-9, 84.0 cm",NULL,NULL,756.722,757.445,756.722,757.445,"C0011B-51R-9, 85.0 cm",NULL,NULL,756.731,757.455,756.731,757.455,"C0011B-51R-9 W, 84.0--85.0 cm",CKY000000000000453210,PP,NULL,5,hajime322,NULL,CKY,2009-09-20T19:44:51Z,NULL,108,glass beaker,6.054,2.744,9.2187,4.3602,3.1647,108,glass beaker,6.054,2.744,8.4733,3.6181,2.4193,0.7724,0.7543,0.8619,1.6162,0.8741,0.027,0.0122,2.3923,0.2441,0.3229,1.9581,1.4802,2.7756,0.4667,0.8752,fuway,2010-08-17T03:18:54Z
"C0011B-52R-1, 60.0 cm",NULL,NULL,757.557,757.6,757.557,757.6,"C0011B-52R-1, 62.0 cm",NULL,NULL,757.575,757.62,757.575,757.62,"C0011B-52R-1 WR, 60.0--62.0 cm",CKY000000000000456710,PP,NULL,7,matt322,NULL,CKY,2009-09-20T20:52:00Z,NULL,142,glass beaker,6.092,2.746,10.629,4.9862,4.537,142,glass beaker,6.092,2.746,9.7257,4.0868,3.6337,0.9361,0.9142,1.326,2.2402,1.3408,0.0328,0.0148,3.6009,0.2063,0.26,2.0253,1.6074,2.7156,0.4081,0.6894,fuway,2010-08-17T03:18:59Z
"C0011B-52R-1, 112.0 cm",NULL,NULL,758.039,758.12,758.039,758.12,"C0011B-52R-1, 114.0 cm",NULL,NULL,758.058,758.14,758.058,758.14,"C0011B-52R-1 WR, 112.0--114.0 cm",CKY000000000000455710,PP,NULL,7,matt322,NULL,CKY,2009-09-20T20:35:56Z,NULL,413,glass beaker,6.186,2.789,11.1569,5.2247,4.9709,413,glass beaker,6.186,2.789,10.1735,4.2456,3.9875,1.0191,0.9952,1.4405,2.4357,1.4566,0.0357,0.0161,3.9518,0.205,0.2579,2.0409,1.6224,2.7434,0.4086,0.6909,fuway,2010-08-17T03:19:05Z
"C0011B-52R-2, 11.0 cm",NULL,NULL,758.396,758.505,758.396,758.505,"C0011B-52R-2, 13.0 cm",NULL,NULL,758.415,758.525,758.415,758.525,"C0011B-52R-2 WR, 11.0--13.0 cm",CKY000000000000457510,PP,NULL,7,matt322,NULL,CKY,2009-09-20T21:02:30Z,NULL,415,glass beaker,6.272,2.81,8.8638,4.2644,2.5918,415,glass beaker,6.272,2.81,8.1226,3.5264,1.8506,0.7681,0.7501,0.7043,1.4544,0.7164,0.0269,0.0121,1.8237,0.2964,0.4212,1.782,1.2539,2.5894,0.5157,1.065,fuway,2010-08-17T03:19:05Z
"C0011B-52R-2, 94.0 cm",NULL,NULL,759.166,759.335,759.166,759.335,"C0011B-52R-2, 95.0 cm",NULL,NULL,759.176,759.345,759.176,759.345,"C0011B-52R-2 W, 94.0--95.0 cm",CKY000000000000464410,PP,NULL,5,matt322,NULL,CKY,2009-09-20T23:18:21Z,NULL,187,glass beaker,6.124,2.73,9.5735,4.4543,3.4495,187,glass beaker,6.124,2.73,8.9027,3.7864,2.7787,0.6951,0.6788,1.0455,1.7243,1.0564,0.0243,0.0109,2.7544,0.2015,0.2524,2.0005,1.5974,2.6345,0.3937,0.6493,yohei322,2009-09-22T20:59:41Z
"C0011B-52R-3, 25.0 cm",NULL,NULL,759.844,760.065,759.844,760.065,"C0011B-52R-3, 26.0 cm",NULL,NULL,759.853,760.075,759.853,760.075,"C0011B-52R-3 W, 25.0--26.0 cm",CKY000000000000468910,PP,NULL,7,yohei322,NULL,CKY,2009-09-21T02:28:31Z,NULL,206,glass beaker,6.012,2.707,9.4321,4.425,3.4201,206,glass beaker,6.012,2.707,8.7237,3.7197,2.7117,0.7341,0.7169,1.0011,1.718,1.0127,0.0257,0.0116,2.686,0.2146,0.2733,1.9907,1.5634,2.683,0.4173,0.7161,fuway,2010-08-17T03:19:04Z
"C0011B-52R-3, 95.5 cm",NULL,NULL,760.498,760.77,760.498,760.77,"C0011B-52R-3, 98.0 cm",NULL,NULL,760.521,760.795,760.521,760.795,"C0011B-52R-3 WR, 95.5--98.0 cm",CKY000000000000458710,PP,NULL,7,matt322,NULL,CKY,2009-09-20T21:41:56Z,NULL,107,glass beaker,6.083,2.74,12.0276,5.6388,5.9446,107,glass beaker,6.083,2.74,10.8672,4.4835,4.7842,1.2025,1.1743,1.7245,2.8988,1.7435,0.0421,0.019,4.7421,0.2023,0.2536,2.0507,1.6359,2.7498,0.4051,0.681,fuway,2010-08-17T03:18:54Z
"C0011B-52R-4, 25.0 cm",NULL,NULL,761.156,761.48,761.156,761.48,"C0011B-52R-4, 26.0 cm",NULL,NULL,761.166,761.49,761.166,761.49,"C0011B-52R-4 W, 25.0--26.0 cm",CKY000000000000469010,PP,NULL,7,yohei322,NULL,CKY,2009-09-21T02:28:31Z,NULL,163,glass beaker,6.102,2.74,9.6501,4.4957,3.5481,163,glass beaker,6.102,2.74,8.9038,3.7526,2.8018,0.7734,0.7553,1.0004,1.7557,1.0126,0.0271,0.0122,2.7747,0.218,0.2787,2.0209,1.5804,2.7736,0.4302,0.755,fuway,2010-08-17T03:19:01Z
"C0011B-52R-4, 100.0 cm",NULL,NULL,761.852,762.23,761.852,762.23,"C0011B-52R-4, 101.0 cm",NULL,NULL,761.861,762.24,761.861,762.24,"C0011B-52R-4 W, 100.0--101.0 cm",CKY000000000000469110,PP,NULL,7,yohei322,NULL,CKY,2009-09-21T02:28:31Z,NULL,202,glass beaker,6.008,2.687,9.2082,4.3078,3.2002,202,glass beaker,6.008,2.687,8.5114,3.614,2.5034,0.7221,0.7052,0.9156,1.6208,0.927,0.0253,0.0114,2.4781,0.2256,0.2914,1.9745,1.5289,2.7065,0.4351,0.7702,yohei322,2009-09-22T20:59:42Z
