Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0011B-39R-4, 51.0 cm",NULL,NULL,667.245,667.245,667.245,667.245,"C0011B-39R-4, 51.0 cm",NULL,NULL,667.245,667.245,667.245,667.245,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2493,2.0774,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,24,0.2,330,12,0.04,0.04,0.04,0.17,0.29,0.04,0.25,0,0.08,1.09,9.17,6,0.04,0.94,0.1,427,0.33,467,miyabes,2009-10-08T12:54:18Z
"C0011B-39R-5, 108.0 cm",NULL,NULL,668.405,668.405,668.405,668.405,"C0011B-39R-5, 110.0 cm",NULL,NULL,668.425,668.425,668.425,668.425,"C0011B-39R-5 WR, 108.0--110.0 cm",CKY000000000000331010,CARB,NULL,10,matt322,NULL,CKY,2009-09-16T14:36:53Z,NULL,NULL,NULL,NULL,0.05778,0.49224,0.35643,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-39R-5, 109.0 cm",NULL,NULL,668.415,668.415,668.415,668.415,"C0011B-39R-5, 109.0 cm",NULL,NULL,668.415,668.415,668.415,668.415,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2458,2.0483,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-39R-6, 25.0 cm",NULL,NULL,668.995,668.995,668.995,668.995,"C0011B-39R-6, 27.0 cm",NULL,NULL,669.015,669.015,669.015,669.015,"C0011B-39R-6 WR, 25.0--27.0 cm",CKY000000000000332910,CARB,NULL,10,matt322,NULL,CKY,2009-09-16T14:56:58Z,NULL,NULL,NULL,NULL,0.05945,0.38192,0.15375,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-39R-6, 26.0 cm",NULL,NULL,669.005,669.005,669.005,669.005,"C0011B-39R-6, 26.0 cm",NULL,NULL,669.005,669.005,669.005,669.005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1529,1.2741,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-40R-1, 30.0 cm",NULL,NULL,672.3,672.3,672.3,672.3,"C0011B-40R-1, 32.0 cm",NULL,NULL,672.32,672.32,672.32,672.32,"C0011B-40R-1 WR, 30.0--32.0 cm",CKY000000000000339310,CARB,NULL,10,matt322,NULL,CKY,2009-09-16T16:30:43Z,NULL,NULL,NULL,NULL,0.06231,0.28376,0.15213,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-40R-1, 31.0 cm",NULL,NULL,672.31,672.31,672.31,672.31,"C0011B-40R-1, 31.0 cm",NULL,NULL,672.31,672.31,672.31,672.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0562,0.4683,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-40R-2, 17.0 cm",NULL,NULL,673.57,673.57,673.57,673.57,"C0011B-40R-2, 19.0 cm",NULL,NULL,673.59,673.59,673.59,673.59,"C0011B-40R-2 WR, 17.0--19.0 cm",CKY000000000000341110,CARB,NULL,10,fujikit,share with RE,CKY,2009-09-16T16:57:16Z,NULL,NULL,NULL,NULL,0.06152,0.35759,0.40823,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-40R-2, 18.0 cm",NULL,NULL,673.58,673.58,673.58,673.58,"C0011B-40R-2, 18.0 cm",NULL,NULL,673.58,673.58,673.58,673.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1021,0.8508,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,24,0.1,204,4,0.02,0.02,0.03,0.08,0.23,0.03,0.2,0,0.06,0.51,7.16,2.8,0.01,0.71,0,427,0.25,467,miyabes,2009-10-08T12:54:18Z
"C0011B-40R-3, 0.0 cm",NULL,NULL,674.815,674.815,674.815,674.815,"C0011B-40R-3, 2.0 cm",NULL,NULL,674.835,674.835,674.835,674.835,"C0011B-40R-3 WR, 0.0--2.0 cm",CKY000000000000333610,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-16T15:03:01Z,NULL,NULL,NULL,NULL,0.06042,0.49974,0.20573,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-40R-3, 1.0 cm",NULL,NULL,674.825,674.825,674.825,674.825,"C0011B-40R-3, 1.0 cm",NULL,NULL,674.825,674.825,674.825,674.825,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1863,1.5524,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,23,0.16,243,7,0.03,0.03,0.04,0.13,0.27,0.03,0.24,0,0.07,0.73,8.7,4.6,0.02,0.65,0.1,426,0.3,466,miyabes,2009-10-08T12:54:18Z
"C0011B-42R-2, 0.0 cm",NULL,NULL,681.88,681.88,681.88,681.88,"C0011B-42R-2, 2.0 cm",NULL,NULL,681.9,681.9,681.9,681.9,"C0011B-42R-2 WR, 0.0--2.0 cm",CKY000000000000354010,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-16T23:30:59Z,NULL,NULL,NULL,NULL,0.05384,0.47775,0.1983,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-42R-2, 1.0 cm",NULL,NULL,681.89,681.89,681.89,681.89,"C0011B-42R-2, 1.0 cm",NULL,NULL,681.89,681.89,681.89,681.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2511,2.0924,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,24,0.19,395,0,0.02,0.03,0.1,0.17,0.18,0.03,0.15,0.01,0.05,0.83,5.59,6,0,0.68,0.1,428,0.21,470,miyabes,2009-10-08T12:54:19Z
"C0011B-43R-2, 40.0 cm",NULL,NULL,685.814,686.81,685.814,686.81,"C0011B-43R-2, 42.0 cm",NULL,NULL,685.823,686.83,685.823,686.83,"C0011B-43R-2 WR, 40.0--42.0 cm",CKY000000000000377210,CARB,NULL,8,brandon322,NULL,CKY,2009-09-17T09:05:07Z,NULL,NULL,NULL,NULL,0.05162,0.49354,0.08855,9/21/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-43R-2, 41.0 cm",NULL,NULL,685.818,686.82,685.818,686.82,"C0011B-43R-2, 41.0 cm",NULL,NULL,685.818,686.82,685.818,686.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2875,2.3957,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-43R-3, 0.0 cm",NULL,NULL,685.874,686.945,685.874,686.945,"C0011B-43R-3, 2.0 cm",NULL,NULL,685.883,686.965,685.883,686.965,"C0011B-43R-3 WR, 0.0--2.0 cm",CKY000000000000369110,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-17T05:13:55Z,NULL,NULL,NULL,NULL,0.05533,0.67452,0.20367,9/21/2009,kuriharar,2009-10-02T01:38:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-43R-3, 1.0 cm",NULL,NULL,685.879,686.955,685.879,686.955,"C0011B-43R-3, 1.0 cm",NULL,NULL,685.879,686.955,685.879,686.955,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3962,3.3015,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,36,0.26,404,16,0.01,0.04,0.08,0.24,0.21,0.02,0.19,0.01,0.09,1.01,7.05,8.9,0.04,0.35,0.1,421,0.25,463,miyabes,2009-10-08T12:54:19Z
"C0011B-43R-4, 56.0 cm",NULL,NULL,686.364,688.035,686.364,688.035,"C0011B-43R-4, 58.0 cm",NULL,NULL,686.373,688.055,686.373,688.055,"C0011B-43R-4 WR, 56.0--58.0 cm",CKY000000000000378010,CARB,NULL,8,brandon322,NULL,CKY,2009-09-17T09:07:36Z,NULL,NULL,NULL,NULL,0.04905,1.4683,0.04613,9/21/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-43R-4, 57.0 cm",NULL,NULL,686.369,688.045,686.369,688.045,"C0011B-43R-4, 57.0 cm",NULL,NULL,686.369,688.045,686.369,688.045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.2123,10.1021,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-43R-5, 117.0 cm",NULL,NULL,687.27,690.05,687.27,690.05,"C0011B-43R-5, 119.0 cm",NULL,NULL,687.279,690.07,687.279,690.07,"C0011B-43R-5 WR, 117.0--119.0 cm",CKY000000000000378710,CARB,NULL,8,brandon322,NULL,CKY,2009-09-17T09:09:32Z,NULL,NULL,NULL,NULL,0.05475,0.4521,0.24289,9/22/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-43R-5, 118.0 cm",NULL,NULL,687.274,690.06,687.274,690.06,"C0011B-43R-5, 118.0 cm",NULL,NULL,687.274,690.06,687.274,690.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.163,1.3583,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-44R-2, 0.0 cm",NULL,NULL,690.41,690.41,690.41,690.41,"C0011B-44R-2, 3.0 cm",NULL,NULL,690.44,690.44,690.44,690.44,"C0011B-44R-2 WR, 0.0--3.0 cm",CKY000000000000386810,CARB,NULL,10,matt322,NULL,CKY,2009-09-17T12:07:38Z,NULL,NULL,NULL,NULL,0.04945,0.26158,0.15042,9/22/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-44R-2, 1.5 cm",NULL,NULL,690.425,690.425,690.425,690.425,"C0011B-44R-2, 1.5 cm",NULL,NULL,690.425,690.425,690.425,690.425,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0453,0.3775,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-44R-3, 0.0 cm",NULL,NULL,691.09,691.09,691.09,691.09,"C0011B-44R-3, 2.0 cm",NULL,NULL,691.11,691.11,691.11,691.11,"C0011B-44R-3 WR, 0.0--2.0 cm",CKY000000000000380110,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-17T09:40:09Z,NULL,NULL,NULL,NULL,0.0534,0.29586,0.2516,9/22/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-44R-3, 1.0 cm",NULL,NULL,691.1,691.1,691.1,691.1,"C0011B-44R-3, 1.0 cm",NULL,NULL,691.1,691.1,691.1,691.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.085,0.7083,miyabes,2009-10-02T10:35:39Z,NULL,NULL,NULL,NULL,NULL,NULL,47,0.08,382,0,0.01,0.03,0.1,0.06,0.14,0.02,0.12,0.01,0.08,0.65,4.42,2.2,0,0.47,0.1,428,0.17,470,miyabes,2009-10-08T12:54:19Z
"C0011B-44R-4, 21.0 cm",NULL,NULL,691.9,691.9,691.9,691.9,"C0011B-44R-4, 23.0 cm",NULL,NULL,691.92,691.92,691.92,691.92,"C0011B-44R-4 WR, 21.0--23.0 cm",CKY000000000000388010,CARB,NULL,10,matt322,NULL,CKY,2009-09-17T12:23:54Z,NULL,NULL,NULL,NULL,0.05468,0.45643,0.15521,9/22/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-44R-4, 22.0 cm",NULL,NULL,691.91,691.91,691.91,691.91,"C0011B-44R-4, 22.0 cm",NULL,NULL,691.91,691.91,691.91,691.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2147,1.7891,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-44R-7, 65.0 cm",NULL,NULL,696.59,696.59,696.59,696.59,"C0011B-44R-7, 67.0 cm",NULL,NULL,696.61,696.61,696.61,696.61,"C0011B-44R-7 W, 65.0--67.0 cm",CKY000000000000402110,CARB,NULL,3,hajime322,NULL,CKY,2009-09-17T19:25:00Z,NULL,NULL,NULL,NULL,0.0503,0.41624,0.20951,9/25/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-44R-7, 66.0 cm",NULL,NULL,696.6,696.6,696.6,696.6,"C0011B-44R-7, 66.0 cm",NULL,NULL,696.6,696.6,696.6,696.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1448,1.2066,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-45R-1, 24.0 cm",NULL,NULL,698.74,698.74,698.74,698.74,"C0011B-45R-1, 26.0 cm",NULL,NULL,698.76,698.76,698.76,698.76,"C0011B-45R-1 WR, 24.0--26.0 cm",CKY000000000000396610,CARB,NULL,10,christine322,NULL,CKY,2009-09-17T16:53:56Z,NULL,NULL,NULL,NULL,0.06964,1.10127,0.39339,9/22/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-45R-1, 25.0 cm",NULL,NULL,698.75,698.75,698.75,698.75,"C0011B-45R-1, 25.0 cm",NULL,NULL,698.75,698.75,698.75,698.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5929,4.9406,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-45R-3, 0.0 cm",NULL,NULL,700.28,700.28,700.28,700.28,"C0011B-45R-3, 2.0 cm",NULL,NULL,700.3,700.3,700.3,700.3,"C0011B-45R-3 WR, 0.0--2.0 cm",CKY000000000000392010,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-17T14:17:30Z,NULL,NULL,NULL,NULL,0.05875,0.40936,0.50542,9/22/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-45R-3, 1.0 cm",NULL,NULL,700.29,700.29,700.29,700.29,"C0011B-45R-3, 1.0 cm",NULL,NULL,700.29,700.29,700.29,700.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1416,1.18,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,48,0.1,300,57,0,0.03,0.1,0.1,0.18,0.04,0.14,0.01,0.1,0.63,5.03,3.6,0.12,0.96,0.1,423,0.21,465,miyabes,2009-10-08T12:54:19Z
"C0011B-45R-4, 36.5 cm",NULL,NULL,701.175,701.175,701.175,701.175,"C0011B-45R-4, 38.5 cm",NULL,NULL,701.195,701.195,701.195,701.195,"C0011B-45R-4 WR, 36.5--38.5 cm",CKY000000000000397510,CARB,NULL,10,fujikit,share with RE,CKY,2009-09-17T17:05:29Z,NULL,NULL,NULL,NULL,0.06252,1.16441,0.32067,9/22/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-45R-4, 37.5 cm",NULL,NULL,701.185,701.185,701.185,701.185,"C0011B-45R-4, 37.5 cm",NULL,NULL,701.185,701.185,701.185,701.185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7401,6.1673,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,48,0.5,200,10,0.19,0.04,0.05,0.31,0.36,0.03,0.33,0.01,0.19,0.8,12.01,11.1,0.04,0.75,0.2,419,0.4,461,miyabes,2009-10-08T12:54:19Z
"C0011B-45R-5, 44.0 cm",NULL,NULL,702.68,702.68,702.68,702.68,"C0011B-45R-5, 46.0 cm",NULL,NULL,702.7,702.7,702.7,702.7,"C0011B-45R-5 W, 44.0--46.0 cm",CKY000000000000408910,CARB,NULL,3,hajime322,NULL,CKY,2009-09-17T22:24:27Z,NULL,NULL,NULL,NULL,0.05938,0.81942,0.58387,9/25/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-45R-5, 45.0 cm",NULL,NULL,702.69,702.69,702.69,702.69,"C0011B-45R-5, 45.0 cm",NULL,NULL,702.69,702.69,702.69,702.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1877,1.5641,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-45R-8, 12.0 cm",NULL,NULL,706.655,706.655,706.655,706.655,"C0011B-45R-8, 15.0 cm",NULL,NULL,706.685,706.685,706.685,706.685,"C0011B-45R-8 WR, 12.0--15.0 cm",CKY000000000000400710,CARB,NULL,10,matt322,NULL,CKY,2009-09-17T17:36:49Z,NULL,NULL,NULL,NULL,0.0619,0.36501,0.35305,9/22/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-45R-8, 13.5 cm",NULL,NULL,706.67,706.67,706.67,706.67,"C0011B-45R-8, 13.5 cm",NULL,NULL,706.67,706.67,706.67,706.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0595,0.4958,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-46R-1, 105.0 cm",NULL,NULL,709.05,709.05,709.05,709.05,"C0011B-46R-1, 107.0 cm",NULL,NULL,709.07,709.07,709.07,709.07,"C0011B-46R-1 WR, 105.0--107.0 cm",CKY000000000000406910,CARB,NULL,10,matt322,NULL,CKY,2009-09-17T21:46:53Z,NULL,NULL,NULL,NULL,0.04001,0.47851,0.90659,9/25/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-46R-1, 106.0 cm",NULL,NULL,709.06,709.06,709.06,709.06,"C0011B-46R-1, 106.0 cm",NULL,NULL,709.06,709.06,709.06,709.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2213,1.8441,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-46R-2, 25.0 cm",NULL,NULL,709.645,709.645,709.645,709.645,"C0011B-46R-2, 27.0 cm",NULL,NULL,709.665,709.665,709.665,709.665,"C0011B-46R-2 WR, 25.0--27.0 cm",CKY000000000000407710,CARB,NULL,10,fujikit,share with RE,CKY,2009-09-17T22:03:07Z,NULL,NULL,NULL,NULL,0.04851,1.21783,0.27895,9/25/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-46R-2, 26.0 cm",NULL,NULL,709.655,709.655,709.655,709.655,"C0011B-46R-2, 26.0 cm",NULL,NULL,709.655,709.655,709.655,709.655,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8273,6.8939,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,35,0.59,230,3,0.31,0.04,0.1,0.27,0.33,0.03,0.3,0.02,0.13,0.85,10.91,10,0.01,0.78,0.1,421,0.37,463,miyabes,2009-10-08T12:54:19Z
