Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0012A-34R-1, 72.0 cm",NULL,357.72,357.72,357.72,357.72,"C0012A-34R-1, 75.0 cm",NULL,357.75,357.75,357.75,357.75,"C0012A-34R-1 WR, 72.0--75.0 cm",CKY000000000000808310,CARB,NULL,10,matt322,NULL,CKY,2009-09-29T17:39:34Z,NULL,NULL,NULL,NULL,0.05919,0.40088,0.23327,10/5/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-34R-1, 73.5 cm",NULL,357.735,357.735,357.735,357.735,"C0012A-34R-1, 73.5 cm",NULL,357.735,357.735,357.735,357.735,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.105079233,0.875625252,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-34R-3, 0.0 cm",NULL,359.54,359.54,359.54,359.54,"C0012A-34R-3, 2.0 cm",NULL,359.56,359.56,359.56,359.56,"C0012A-34R-3 WR, 0.0--2.0 cm",CKY000000000000798210,CARB,NULL,3,matt322,NULL,CKY,2009-09-29T14:27:07Z,NULL,NULL,NULL,NULL,0.05415,0.57715,0.31447,10/5/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-34R-3, 1.0 cm",NULL,359.55,359.55,359.55,359.55,"C0012A-34R-3, 1.0 cm",NULL,359.55,359.55,359.55,359.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.297837751,2.481881977,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-35R-2, 65.0 cm",NULL,367.46,367.46,367.46,367.46,"C0012A-35R-2, 67.0 cm",NULL,367.48,367.48,367.48,367.48,"C0012A-35R-2 WR, 65.0--67.0 cm",CKY000000000000806110,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-29T17:23:23Z,NULL,NULL,NULL,NULL,0.05035,0.38991,0.13488,10/5/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-35R-2, 66.0 cm",NULL,367.47,367.47,367.47,367.47,"C0012A-35R-2, 66.0 cm",NULL,367.47,367.47,367.47,367.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.137915156,1.149246999,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,55,0.15,320,5,0.06,0.03,0.06,0.08,0.17,0.02,0.15,0.01,0.11,0.64,5.51,3.1,0.01,0.48,0,425,0.2,466,miyabes,2009-10-08T12:56:01Z
"C0012A-36R-2, 34.0 cm",NULL,376.51,376.51,376.51,376.51,"C0012A-36R-2, 36.0 cm",NULL,376.53,376.53,376.53,376.53,"C0012A-36R-2 WR, 34.0--36.0 cm",CKY000000000000816310,CARB,NULL,3,matt322,NULL,CKY,2009-09-29T20:40:53Z,NULL,NULL,NULL,NULL,0.05085,0.33773,0.27033,10/5/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-36R-2, 35.0 cm",NULL,376.52,376.52,376.52,376.52,"C0012A-36R-2, 35.0 cm",NULL,376.52,376.52,376.52,376.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.084337108,0.702781122,miyabes,2009-10-08T11:29:46Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-36R-3, 29.0 cm",NULL,376.82,376.82,376.82,376.82,"C0012A-36R-3, 32.0 cm",NULL,376.85,376.85,376.85,376.85,"C0012A-36R-3 W, 29.0--32.0 cm",CKY000000000000831510,CARB,NULL,8,brandon322,NULL,CKY,2009-09-30T05:07:21Z,NULL,NULL,NULL,NULL,0.04135,0.37548,0.20264,10/6/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-36R-3, 30.5 cm",NULL,376.835,376.835,376.835,376.835,"C0012A-36R-3, 30.5 cm",NULL,376.835,376.835,376.835,376.835,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.079221689,0.660154333,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-37R-1, 44.0 cm",NULL,385.94,385.94,385.94,385.94,"C0012A-37R-1, 48.0 cm",NULL,385.98,385.98,385.98,385.98,"C0012A-37R-1 W, 44.0--48.0 cm",CKY000000000000832510,CARB,NULL,8,brandon322,NULL,CKY,2009-09-30T05:08:55Z,NULL,NULL,NULL,NULL,0.05154,0.2624,0.23954,10/6/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-37R-1, 46.0 cm",NULL,385.96,385.96,385.96,385.96,"C0012A-37R-1, 46.0 cm",NULL,385.96,385.96,385.96,385.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.055223318,0.460175907,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-37R-2, 0.0 cm",NULL,386.3,386.3,386.3,386.3,"C0012A-37R-2, 2.0 cm",NULL,386.32,386.32,386.32,386.32,"C0012A-37R-2 WR, 0.0--2.0 cm",CKY000000000000825310,CARB,NULL,3,brandon322,NULL,CKY,2009-09-30T00:30:56Z,NULL,NULL,NULL,NULL,0.05366,0.73152,0.30444,10/6/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-37R-2, 1.0 cm",NULL,386.31,386.31,386.31,386.31,"C0012A-37R-2, 1.0 cm",NULL,386.31,386.31,386.31,386.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.414583579,3.454724963,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-38R-1, 95.0 cm",NULL,395.95,395.95,395.95,395.95,"C0012A-38R-1, 100.0 cm",NULL,396,396,396,396,"C0012A-38R-1 W, 95.0--100.0 cm",CKY000000000000837010,CARB,NULL,3,shasa322,NULL,CKY,2009-09-30T07:22:31Z,NULL,NULL,NULL,NULL,0.05684,0.33722,0.30356,10/6/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-38R-1, 97.5 cm",NULL,395.975,395.975,395.975,395.975,"C0012A-38R-1, 97.5 cm",NULL,395.975,395.975,395.975,395.975,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.006346189,0.052882792,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-39R-1, 2.0 cm",NULL,404.52,404.52,404.52,404.52,"C0012A-39R-1, 5.0 cm",NULL,404.55,404.55,404.55,404.55,"C0012A-39R-1 W, 2.0--5.0 cm",CKY000000000000846510,CARB,NULL,3,huaichun322,NULL,CKY,2009-09-30T11:38:51Z,NULL,NULL,NULL,NULL,0.0469,0.37365,0.17858,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-39R-1, 3.5 cm",NULL,404.535,404.535,404.535,404.535,"C0012A-39R-1, 3.5 cm",NULL,404.535,404.535,404.535,404.535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.071867061,0.598868216,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-39R-1, 107.0 cm",NULL,405.57,405.57,405.57,405.57,"C0012A-39R-1, 109.0 cm",NULL,405.59,405.59,405.59,405.59,"C0012A-39R-1 W, 107.0--109.0 cm",CKY000000000000846610,CARB,NULL,3,huaichun322,NULL,CKY,2009-09-30T11:38:52Z,NULL,NULL,NULL,NULL,0.07204,0.71978,0.56513,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-39R-1, 108.0 cm",NULL,405.58,405.58,405.58,405.58,"C0012A-39R-1, 108.0 cm",NULL,405.58,405.58,405.58,405.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.060420675,0.503485486,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-39R-1, 118.0 cm",NULL,405.68,405.68,405.68,405.68,"C0012A-39R-1, 121.0 cm",NULL,405.71,405.71,405.71,405.71,"C0012A-39R-1 WR, 118.0--121.0 cm",CKY000000000000838810,CARB,NULL,8,brandon322,NULL,CKY,2009-09-30T08:40:23Z,NULL,NULL,NULL,NULL,0.06804,0.7004,0.60307,10/6/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-39R-1, 119.5 cm",NULL,405.695,405.695,405.695,405.695,"C0012A-39R-1, 119.5 cm",NULL,405.695,405.695,405.695,405.695,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.081527532,0.679368926,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-39R-2, 37.0 cm",NULL,406.225,406.225,406.225,406.225,"C0012A-39R-2, 40.0 cm",NULL,406.255,406.255,406.255,406.255,"C0012A-39R-2 WR, 37.0--40.0 cm",CKY000000000000839810,CARB,NULL,2,brandon322,NULL,CKY,2009-09-30T08:45:24Z,NULL,NULL,NULL,NULL,0.0647,0.70622,0.40018,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-39R-2, 38.5 cm",NULL,406.24,406.24,406.24,406.24,"C0012A-39R-2, 38.5 cm",NULL,406.24,406.24,406.24,406.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.080572435,0.671410099,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-39R-2, 73.0 cm",NULL,406.585,406.585,406.585,406.585,"C0012A-39R-2, 75.0 cm",NULL,406.605,406.605,406.605,406.605,"C0012A-39R-2 WR, 73.0--75.0 cm",CKY000000000000840510,CARB,NULL,8,brandon322,NULL,CKY,2009-09-30T08:45:25Z,NULL,NULL,NULL,NULL,0.06198,0.67795,0.35309,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-39R-2, 74.0 cm",NULL,406.595,406.595,406.595,406.595,"C0012A-39R-2, 74.0 cm",NULL,406.595,406.595,406.595,406.595,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.070213017,0.58508507,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-39R-3, 35.0 cm",NULL,407.25,407.25,407.25,407.25,"C0012A-39R-3, 37.0 cm",NULL,407.27,407.27,407.27,407.27,"C0012A-39R-3 WR, 35.0--37.0 cm",CKY000000000000835910,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-30T07:11:20Z,NULL,NULL,NULL,NULL,0.0711,0.68861,0.72066,10/6/2009,miyabes,2009-10-08T10:49:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-39R-3, 36.0 cm",NULL,407.26,407.26,407.26,407.26,"C0012A-39R-3, 36.0 cm",NULL,407.26,407.26,407.26,407.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.039185565,0.326533316,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,63,0.08,104,6,0.03,0.05,0.02,0.05,0.46,0.1,0.36,0.01,0.32,0.53,13.19,1.8,0.03,2.3,0.2,425,0.51,466,miyabes,2009-10-08T12:56:01Z
"C0012A-40R-1, 21.0 cm",NULL,414.21,414.21,414.21,414.21,"C0012A-40R-1, 23.0 cm",NULL,414.23,414.23,414.23,414.23,"C0012A-40R-1 WR, 21.0--23.0 cm",CKY000000000000848410,CARB,NULL,10,matt322,NULL,CKY,2009-09-30T13:24:55Z,NULL,NULL,NULL,NULL,0.04971,0.3305,0.09323,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-40R-1, 22.0 cm",NULL,414.22,414.22,414.22,414.22,"C0012A-40R-1, 22.0 cm",NULL,414.22,414.22,414.22,414.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.019869032,0.165568643,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-40R-3, 26.0 cm",NULL,416.975,416.975,416.975,416.975,"C0012A-40R-3, 28.0 cm",NULL,416.995,416.995,416.995,416.995,"C0012A-40R-3 WR, 26.0--28.0 cm",CKY000000000000849310,CARB,NULL,10,matt322,NULL,CKY,2009-09-30T13:28:05Z,NULL,NULL,NULL,NULL,0.04343,0.26359,0.10398,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-40R-3, 27.0 cm",NULL,416.985,416.985,416.985,416.985,"C0012A-40R-3, 27.0 cm",NULL,416.985,416.985,416.985,416.985,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.004675899,0.038964265,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-40R-4, 30.0 cm",NULL,417.705,417.705,417.705,417.705,"C0012A-40R-4, 33.0 cm",NULL,417.735,417.735,417.735,417.735,"C0012A-40R-4 WR, 30.0--33.0 cm",CKY000000000000842910,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-30T10:39:56Z,NULL,NULL,NULL,NULL,0.03623,0.3611,0.06198,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-40R-4, 31.5 cm",NULL,417.72,417.72,417.72,417.72,"C0012A-40R-4, 31.5 cm",NULL,417.72,417.72,417.72,417.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.127972445,1.066394382,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,123,0.08,746,0,0,0.04,0.06,0.08,0.09,0.01,0.08,0.01,0.16,0.97,2.85,2.9,0,0.33,0,606,0.13,647,miyabes,2009-10-08T12:56:02Z
"C0012A-40R-5, 24.0 cm",NULL,418.335,418.335,418.335,418.335,"C0012A-40R-5, 26.0 cm",NULL,418.355,418.355,418.355,418.355,"C0012A-40R-5 W, 24.0--26.0 cm",CKY000000000000862410,CARB,NULL,3,hirokuni322,NULL,CKY,2009-09-30T18:06:59Z,NULL,NULL,NULL,NULL,0.00907,0.19195,0.52056,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-40R-5, 25.0 cm",NULL,418.345,418.345,418.345,418.345,"C0012A-40R-5, 25.0 cm",NULL,418.345,418.345,418.345,418.345,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.070014824,0.583433529,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-40R-5, 45.0 cm",NULL,418.545,418.545,418.545,418.545,"C0012A-40R-5, 47.0 cm",NULL,418.565,418.565,418.565,418.565,"C0012A-40R-5 WR, 45.0--47.0 cm",CKY000000000000850110,CARB,NULL,10,matt322,NULL,CKY,2009-09-30T13:30:34Z,NULL,NULL,NULL,NULL,0.0402,0.48664,0.10626,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-40R-5, 46.0 cm",NULL,418.555,418.555,418.555,418.555,"C0012A-40R-5, 46.0 cm",NULL,418.555,418.555,418.555,418.555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.258765493,2.156292854,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-41R-1, 23.0 cm",NULL,423.73,423.73,423.73,423.73,"C0012A-41R-1, 25.0 cm",NULL,423.75,423.75,423.75,423.75,"C0012A-41R-1 WR, 23.0--25.0 cm",CKY000000000000855810,CARB,NULL,10,matt322,NULL,CKY,2009-09-30T15:37:25Z,NULL,NULL,NULL,NULL,0.04146,0.69566,0.19549,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-41R-1, 24.0 cm",NULL,423.74,423.74,423.74,423.74,"C0012A-41R-1, 24.0 cm",NULL,423.74,423.74,423.74,423.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.387178261,3.226356445,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-41R-2, 0.0 cm",NULL,424.88,424.88,424.88,424.88,"C0012A-41R-2, 2.0 cm",NULL,424.9,424.9,424.9,424.9,"C0012A-41R-2 WR, 0.0--2.0 cm",CKY000000000000856510,CARB,NULL,10,matt322,NULL,CKY,2009-09-30T15:40:49Z,NULL,NULL,NULL,NULL,0.03514,0.17603,0.01828,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-41R-2, 1.0 cm",NULL,424.89,424.89,424.89,424.89,"C0012A-41R-2, 1.0 cm",NULL,424.89,424.89,424.89,424.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.017543591,0.146190741,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-41R-3, 0.0 cm",NULL,426.07,426.07,426.07,426.07,"C0012A-41R-3, 3.0 cm",NULL,426.1,426.1,426.1,426.1,"C0012A-41R-3 WR, 0.0--3.0 cm",CKY000000000000850910,CARB,NULL,3,matt322,NULL,CKY,2009-09-30T13:39:57Z,NULL,NULL,NULL,NULL,0.03902,0.24331,0.0852,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-41R-3, 1.5 cm",NULL,426.085,426.085,426.085,426.085,"C0012A-41R-3, 1.5 cm",NULL,426.085,426.085,426.085,426.085,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.018692132,0.155761533,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-41R-4, 38.0 cm",NULL,426.885,426.885,426.885,426.885,"C0012A-41R-4, 40.0 cm",NULL,426.905,426.905,426.905,426.905,"C0012A-41R-4 WR, 38.0--40.0 cm",CKY000000000000857410,CARB,NULL,10,matt322,NULL,CKY,2009-09-30T15:45:45Z,NULL,NULL,NULL,NULL,0.03576,0.25485,0.18229,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
